About,Hakkında,
Active,Aktif,
Address,Adres,
Amended From,Değiştirildi,
Apps,Uygulamalar,
Cancelled,İptal edildi,
Company,Şirket,
Currency,Para Birimi,
Current,Geçerli,
Date,Tarih,
Description,Açıklama,
Email,E-posta,
Email Address,E-posta Address,
Email Template,E-Posta Şablonu,
Enabled,Etkin,
Expired,Günü Geçmiş,
Frappe Support,Frappe Desteği,
From,itibaren,
Image,Resim,
Introduction,Tanıtım/Giriş,
Keyboard Shortcuts,Klavye Kısayolları,
Log out,Çıkış,
Meeting,Toplantı,
Members,Üyeler,
Monthly,Aylık,
My Profile,Profilim,
My Settings,Ayarlarım,
Naming Series,Adlandırma Serisi,
New,Yeni,
Note,Not,
Open,Açık,
Other,Diğer,
Pending,Bekliyor,
Phone,Telefon,
Published,Yayınlandı,
Reload,Yeniden Yükle,
Route,Rota,
SMS,SMS,
Session Defaults,Oturum Varsayılanları,
System Manager,Sistem Yöneticisi,
To,Kime,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Type,Türü,
Updates,Güncellemeler,
User,Kullanıcı,
Validity,Geçerlilik,
View Website,Websitesine Git,
Weekdays,Hafta İçi,
Weekly,Haftalık,
Yearly,Yıllık,
